,a01,Savings in past year,Current Savings,Total Savings,Saving Frequency,Savings diversification
3309,2354.0,1,1,10000.0,1.0,1
3310,2355.1,1,1,20000.0,1.0,1
3311,2355.2,0,0,0.0,0.0,1
3312,2356.0,1,1,5000.0,6.0,1
3313,2357.0,0,0,0.0,0.0,1
3314,2358.0,0,0,0.0,0.0,1
3315,2359.0,0,0,0.0,0.0,1
3316,2360.0,1,1,20000.0,1.0,1
3317,2361.0,1,1,16000.0,5.0,2
3320,2362.0,1,1,10000.0,6.0,2
3321,2363.0,0,0,0.0,0.0,1
3322,2364.0,1,1,179000.0,6.0,3
3325,2365.0,1,1,46000.0,6.0,2
3327,2366.0,1,1,1500.0,6.0,1
3328,2367.0,0,0,0.0,0.0,1
3329,2368.0,1,1,3000.0,6.0,1
3331,2369.0,1,1,9400.0,6.0,2
3332,2370.0,1,1,9340.0,6.0,3
3335,2371.0,1,1,11500.0,5.0,2
3337,2372.0,1,1,3000.0,6.0,1
3340,2373.0,1,1,215998.0,6.0,5
3343,2374.0,1,1,1000.0,5.0,1
3344,2375.0,1,1,6338.0,6.0,2
3346,2376.0,1,1,13200.0,6.0,2
3348,2377.0,1,1,1000.0,5.0,1
3349,2378.0,1,1,5000.0,6.0,1
3350,2379.0,1,1,75000.0,1.0,1
3351,2380.0,0,0,0.0,0.0,1
3352,2381.1,1,0,0.0,0.0,1
3353,2381.2,1,1,32500.0,5.0,2
3355,2381.3,1,0,0.0,0.0,1
3356,2382.1,1,0,0.0,0.0,1
3357,2382.2,0,0,0.0,0.0,1
3358,2383.0,1,1,3539.0,5.0,1
3359,2384.0,1,0,0.0,0.0,1
3360,2386.0,0,0,0.0,0.0,1
3361,2387.0,1,0,0.0,0.0,1
3362,2388.0,1,1,21000.0,6.0,2
3364,2389.0,1,1,5646.0,5.0,1
3365,2390.0,1,0,0.0,0.0,1
3366,2391.0,1,1,136.0,5.0,1
3367,2392.0,1,1,1600.0,6.0,1
3368,2393.0,1,1,1250.0,6.0,1
3369,2394.0,0,0,0.0,0.0,1
3370,2396.0,0,0,0.0,0.0,1
3371,2397.0,1,1,54505.0,5.0,4
3375,2398.0,1,0,0.0,0.0,1
3376,2400.0,1,1,11400.0,5.0,2
3378,2403.1,1,1,2500.0,5.0,1
3379,2403.2,0,0,0.0,0.0,1
3380,2404.1,0,0,0.0,0.0,1
3381,2404.2,1,1,3200.0,7.0,1
3382,2405.0,1,1,60000.0,1.0,1
3383,2406.0,1,1,2500.0,5.0,1
3384,2409.0,0,0,0.0,0.0,1
3385,2410.0,1,0,0.0,0.0,1
3386,2412.0,0,0,0.0,0.0,1
3387,2413.0,1,1,3299.0,6.0,1
3388,2414.0,0,0,0.0,0.0,1
3389,2415.0,1,1,14300.0,6.0,2
3391,2416.0,0,0,0.0,0.0,1
3392,2417.1,1,1,44500.0,1.0,1
3393,2417.2,1,1,110000.0,6.0,2
3395,2417.3,1,1,107000.0,5.0,2
3397,2418.0,0,0,0.0,0.0,1
3399,2419.0,1,1,14000.0,6.0,2
3400,2420.0,1,1,7000.0,1.0,1
3401,2421.0,1,0,0.0,0.0,1
3402,2422.0,1,0,0.0,0.0,1
3403,2423.0,1,1,200.0,5.0,1
3404,2424.0,1,1,20000.0,1.0,1
3405,2425.0,1,1,4600.0,5.0,1
3406,2426.0,0,0,0.0,0.0,1
3407,2427.0,1,0,0.0,0.0,1
3408,2428.0,1,1,5000.0,1.0,1
3409,2429.0,1,0,0.0,0.0,1
3410,2430.0,1,1,4000.0,5.0,1
3411,2432.0,1,1,31800.0,6.0,2
3413,2433.0,1,0,0.0,0.0,1
3414,2434.0,1,1,3500.0,6.0,1
3415,2435.0,0,0,0.0,0.0,1
3416,2436.0,1,1,10000.0,1.0,1
3417,2437.0,1,0,0.0,0.0,1
3418,2438.0,0,0,0.0,0.0,1
3419,2440.0,1,1,101000.0,5.0,3
3422,2441.0,1,1,205000.0,5.0,3
3425,2442.0,0,0,0.0,0.0,1
3426,2443.0,0,0,0.0,0.0,1
3427,2444.0,0,0,0.0,0.0,1
3428,2445.0,1,1,50000.0,1.0,1
3429,2446.1,1,0,0.0,0.0,1
3430,2446.2,1,1,12000.0,5.0,1
3431,2448.0,1,1,35000.0,6.0,3
3434,2449.0,1,1,60000.0,1.0,1
3435,2450.0,1,1,7520.0,5.0,2
3437,2451.0,1,1,652000.0,6.0,2
3439,2452.0,1,1,30000.0,5.0,1
3440,2453.0,1,1,20000.0,1.0,1
3441,2454.0,1,1,2500.0,5.0,1
3442,2455.0,0,0,0.0,0.0,1
3443,2456.0,1,1,13600.0,5.0,3
3446,2457.0,1,1,3000.0,6.0,1
3447,2458.0,0,0,0.0,0.0,1
3448,2459.0,1,1,160000.0,5.0,2
3450,2460.0,1,1,60000.0,1.0,2
3452,2461.0,1,1,8000.0,6.0,2
3454,2462.0,1,1,11800.0,6.0,2
3456,2463.0,1,1,6000.0,6.0,1
3457,2464.0,0,0,0.0,0.0,1
3458,2465.0,0,0,0.0,0.0,1
3459,2466.0,1,1,7000.0,6.0,1
3460,2467.0,1,1,3000.0,6.0,1
3461,2469.0,1,1,1500.0,1.0,1
3462,2470.0,0,0,0.0,0.0,1
3463,2471.0,0,0,0.0,0.0,1
3464,2472.0,1,1,30000.0,1.0,2
3466,2473.0,0,0,0.0,0.0,1
