,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
186,935.0,1,1,0.828677231,0.693330638,-0.493815326,45.0,45.0,0.0,12100000,250,12,14.0,26,954,4.0,4.0,4.0
187,943.0,1,1,2.439357613,1.056112399,0.934376058,134.0,136.0,2.0,1750000,252,10,10.0,20,959,3.5,3.5,3.25
188,952.0,1,1,-0.230910854,1.056112399,-0.493815326,92.0,45.0,-47.0,1500000,256,6,12.0,18,969,4.0,4.0,4.0
189,958.0,1,1,-0.209612601,0.693330638,-0.493815326,94.0,40.0,-54.0,580000,258,12,5.0,17,975,4.0,4.0,4.0
190,964.0,0,0,-0.236235418,-1.120578168,-0.493815326,97.0,58.0,-39.0,3300000,260,10,10.0,20,981,4.0,4.0,3.0
191,966.0,0,0,-0.236235418,-1.120578168,-0.493815326,81.0,113.0,32.0,5300000,262,9,9.0,18,983,4.0,4.0,1.0
192,967.0,1,1,-0.186983208,1.056112399,-0.493815326,92.5,117.5,25.0,2180000,263,10,5.0,15,984,4.0,4.0,2.0
193,968.0,1,1,-0.069842816,0.693330638,-0.493815326,4.0,4.0,0.0,800000,265,10,8.0,18,985,4.0,4.0,1.0
194,971.0,0,0,-0.236235418,-1.120578168,-0.493815326,1.5,1.5,0.0,250000,266,5,8.0,13,988,4.0,4.0,4.0
195,974.0,1,1,-0.189645489,1.056112399,-0.493815326,5.0,2.0,-3.0,250000,267,8,8.0,16,990,4.0,4.0,3.0
196,976.0,1,1,0.586409604,0.693330638,0.934376058,102.0,54.0,-48.0,950000,268,12,10.0,22,992,4.0,4.0,4.0
197,993.1,1,1,-0.169678377,1.056112399,-0.493815326,57.0,47.0,-10.0,1870000,274,0,0.0,0,1008,4.0,4.0,3.0
198,996.0,1,1,0.043304153,-0.395014646,-0.493815326,27.0,42.0,15.0,3200000,275,10,9.0,19,1011,4.0,4.0,3.2
199,999.0,1,1,-0.189645489,1.056112399,-0.493815326,25.0,10.0,-15.0,500000,276,12,9.0,21,1014,4.0,4.0,4.0
200,1003.0,0,0,-0.236235418,-1.120578168,-0.493815326,160.0,148.0,-12.0,3400000,278,8,10.0,18,1018,4.0,4.0,4.0
201,1005.0,1,1,-0.103121336,-0.757796407,-0.493815326,39.0,36.0,-3.0,800000,279,5,0.0,5,1019,4.0,4.0,3.5
202,1007.1,1,0,-0.236235418,-1.120578168,-0.493815326,247.0,112.0,-135.0,4080000,280,10,5.0,15,1021,4.0,4.0,4.0
203,1008.0,1,1,-0.216933876,1.056112399,0.934376058,2.5,47.5,45.0,1800000,281,4,0.0,4,1023,4.0,4.0,4.0
204,1011.0,1,1,0.096549785,-0.757796407,-0.493815326,67.0,44.0,-23.0,1100000,282,9,8.0,17,1026,4.0,4.0,4.0
205,1012.0,1,1,-0.163022673,1.056112399,-0.493815326,77.0,27.0,-50.0,670000,283,8,6.0,14,1027,4.0,4.0,4.0
206,1013.0,0,0,-0.236235418,-1.120578168,-0.493815326,213.0,127.0,-86.0,1900000,284,10,13.0,23,1028,4.0,3.0,3.0
207,1022.0,1,1,0.029992745,-0.757796407,-0.493815326,71.0,45.0,-26.0,7200000,286,12,13.0,25,1036,2.5,2.5,1.5
208,1028.0,1,1,3.091616611,-0.757796407,-0.493815326,6.0,6.0,0.0,800000,287,8,12.0,20,1041,4.0,4.0,4.0
209,1030.0,1,1,-0.22292401,1.056112399,-0.493815326,58.0,82.0,24.0,5440000,288,9,9.0,18,1043,4.0,4.0,3.5
210,1032.0,1,1,0.240978563,1.056112399,0.934376058,44.0,62.0,18.0,4800000,289,10,6.0,16,1045,4.0,4.0,3.333333333
211,1037.0,1,1,0.38274506,1.056112399,0.934376058,84.5,54.0,-30.5,2550000,291,9,9.0,18,1052,4.0,4.0,4.0
212,1038.0,0,0,-0.236235418,-1.120578168,-0.493815326,15.0,2.5,-12.5,500000,292,10,10.0,20,1053,4.0,4.0,3.0
213,1042.0,0,0,-0.236235418,-1.120578168,-0.493815326,35.0,83.0,48.0,7150000,296,9,13.0,22,1058,4.0,4.0,1.5
214,1044.0,1,1,-0.097796773,1.056112399,3.790758827,43.5,26.5,-17.0,3150000,297,12,12.0,24,1060,4.0,4.0,4.0
215,1045.0,1,1,-0.176334081,0.693330638,0.934376058,151.5,89.8,-61.7,4800000,298,9,12.0,21,1061,4.0,4.0,4.0
216,1049.0,0,0,-0.236235418,-1.120578168,-0.493815326,60.5,60.5,0.0,4600000,299,12,13.0,25,1065,4.0,4.0,1.0
217,1052.0,1,1,0.165769107,0.693330638,0.934376058,97.0,127.0,30.0,6030000,300,12,9.0,21,1068,3.833333333,3.833333333,3.833333333
218,1055.0,0,0,-0.236235418,-1.120578168,-0.493815326,45.5,45.5,0.0,8500000,301,7,7.0,14,1071,4.0,4.0,1.5
219,1056.0,1,1,-0.228248573,0.693330638,-0.493815326,48.0,41.0,-7.0,2200000,302,9,9.0,18,1072,3.5,3.5,4.0
220,1062.0,1,1,-0.169678377,1.056112399,-0.493815326,37.0,67.0,30.0,3360000,304,7,8.0,15,1077,3.0,1.0,1.0
221,1063.0,1,0,-0.236235418,-1.120578168,-0.493815326,72.0,33.0,-39.0,1650000,305,5,5.0,10,1078,4.0,4.0,4.0
222,1067.0,1,1,0.369433652,1.056112399,2.362567443,48.5,3.5,-45.0,450000,306,12,10.0,22,1082,3.0,3.0,1.0
223,1082.0,0,0,-0.236235418,-1.120578168,-0.493815326,98.0,96.0,-2.0,1000000,309,6,0.0,6,1096,4.0,4.0,1.0
224,1091.0,1,1,-0.196301193,1.056112399,0.934376058,176.0,228.0,52.0,4100000,312,9,8.0,17,1104,4.0,4.0,1.2
225,1111.0,1,1,-0.194737103,1.056112399,2.362567443,2.0,2.0,0.0,100000,317,9,8.0,17,1122,4.0,4.0,4.0
226,1112.0,1,1,-0.169066052,1.056112399,3.790758827,5.0,5.0,0.0,200000,318,9,12.0,21,1123,4.0,4.0,4.0
227,1115.0,1,1,-0.160360391,1.056112399,0.934376058,11.0,11.0,0.0,975000,319,4,5.0,9,1126,3.0,3.0,4.0
228,1117.0,1,1,-0.199629045,1.056112399,0.934376058,30.0,100.0,70.0,3400000,320,14,13.0,27,1127,3.666666667,4.0,3.4
229,1124.0,0,0,-0.236235418,-1.120578168,-0.493815326,50.0,52.0,2.0,880000,322,9,5.0,14,1133,3.333333333,3.333333333,3.666666667
230,1137.0,0,0,-0.236235418,-1.120578168,-0.493815326,144.0,144.0,0.0,1558000,325,14,8.0,22,1144,3.333333333,3.333333333,2.0
231,1141.0,1,1,-0.163022673,0.693330638,0.934376058,10.0,10.0,0.0,200000,327,10,14.0,24,1148,4.0,4.0,2.5
232,1142.0,1,1,-0.121091737,1.056112399,2.362567443,7.0,7.0,0.0,420000,328,10,0.0,10,1149,4.0,4.0,2.0
233,1143.1,0,0,-0.236235418,-1.120578168,-0.493815326,448.0,188.0,-260.0,7700000,329,0,0.0,0,1150,3.333333333,3.333333333,3.166666667
234,1145.0,1,1,-0.030021739,0.693330638,0.934376058,46.0,66.0,20.0,630000,330,10,9.0,19,1153,3.5,3.5,2.0
235,1148.0,1,1,-0.214271594,1.056112399,0.934376058,65.0,68.0,3.0,880000,331,9,5.0,14,1157,3.5,3.5,3.2
236,1149.0,1,1,-0.229912499,1.056112399,-0.493815326,28.0,33.0,5.0,930000,334,10,13.0,23,1158,3.0,3.0,4.0
237,1155.1,0,0,-0.236235418,-1.120578168,-0.493815326,50.0,142.0,92.0,1360000,335,12,14.0,26,1164,3.0,3.0,2.666666667
238,1157.0,1,1,-0.069842816,0.693330638,-0.493815326,98.0,173.0,75.0,4705000,337,10,12.0,22,1168,2.666666667,2.666666667,1.8
239,1159.0,1,0,-0.236235418,-1.120578168,-0.493815326,200.0,20.0,-180.0,600000,339,0,4.0,4,1170,4.0,4.0,4.0
240,1163.0,0,0,-0.236235418,-1.120578168,-0.493815326,17.0,17.0,0.0,220000,340,0,0.0,0,1174,3.333333333,3.333333333,2.5
241,1170.0,1,0,-0.236235418,-1.120578168,-0.493815326,3.0,3.0,0.0,60000,344,3,0.0,3,1180,3.0,3.0,2.0
242,1172.0,0,0,-0.236235418,-1.120578168,-0.493815326,10.0,10.0,0.0,200000,346,4,7.0,11,1182,4.0,4.0,1.5
243,1173.0,1,0,-0.236235418,-1.120578168,-0.493815326,20.0,20.0,0.0,220000,348,3,0.0,3,1183,3.5,3.5,2.0
244,1176.0,0,0,-0.236235418,-1.120578168,-0.493815326,8.0,8.0,0.0,80000,350,2,5.0,7,1186,4.0,4.0,4.0
245,1178.0,1,1,-0.229579714,0.693330638,-0.493815326,4.0,4.0,0.0,80000,351,5,8.0,13,1188,4.0,4.0,2.0
246,1181.0,1,0,-0.236235418,-1.120578168,-0.493815326,146.0,146.0,0.0,5815000,352,14,14.0,28,1191,3.0,3.5,2.333333333
247,1188.0,1,1,-0.103121336,-0.757796407,-0.493815326,93.0,23.0,-70.0,1380000,353,14,14.0,28,1199,4.0,4.0,4.0
248,1202.0,1,1,-0.219596157,1.056112399,-0.493815326,116.0,116.0,0.0,4615000,355,7,9.0,16,1212,3.2,3.2,3.666666667
249,1204.0,1,0,-0.236235418,-1.120578168,-0.493815326,242.0,196.0,-46.0,14340000,357,9,6.0,15,1214,2.6,2.8,2.333333333
250,1205.0,1,1,-0.209612601,1.056112399,0.934376058,2.0,2.0,0.0,200000,358,6,8.0,14,1215,3.0,3.333333333,3.5
251,1213.0,1,1,-0.216268305,1.056112399,-0.493815326,86.0,67.0,-19.0,6000000,359,0,0.0,0,1223,2.666666667,4.0,3.166666667
252,1214.0,1,1,-0.226251862,-0.757796407,-0.493815326,99.0,99.0,0.0,5190000,360,8,9.0,17,1224,3.0,4.0,3.2
253,1221.0,1,1,-0.207283105,1.056112399,-0.493815326,28.5,28.5,0.0,2180000,361,12,8.0,20,1230,3.0,3.0,3.2
254,1226.0,1,1,-0.103121336,1.056112399,-0.493815326,24.25,13.5,-10.75,600000,363,10,9.0,19,1235,3.0,3.0,4.0
255,1236.0,1,1,-0.209612601,0.693330638,0.934376058,34.0,34.0,0.0,1831000,367,10,12.0,22,1243,2.0,2.0,2.5
256,1238.0,1,0,-0.236235418,-1.120578168,-0.493815326,118.0,118.0,0.0,1205000,368,9,0.0,9,1245,2.0,2.0,1.4
257,1239.0,1,1,-0.179162755,1.056112399,0.934376058,259.0,279.0,20.0,7520000,369,7,6.0,13,1246,3.0,3.0,2.333333333
258,1240.1,1,1,-0.228248573,0.693330638,-0.493815326,105.0,147.0,42.0,2052000,370,10,7.0,17,1247,3.0,3.2,2.666666667
259,1248.0,1,1,-0.220261728,1.056112399,-0.493815326,4.0,4.0,0.0,200000,371,10,9.0,19,1257,4.0,4.0,4.0
260,1250.0,1,1,-0.096465632,-1.120578168,-0.493815326,356.0,811.0,455.0,10280000,372,10,12.0,22,1259,3.833333333,3.833333333,2.4
261,1253.0,1,1,-0.072505098,1.056112399,3.790758827,131.0,356.0,225.0,6380000,373,8,12.0,20,1260,3.4,3.4,4.0
262,1255.0,1,1,-0.189645489,0.693330638,-0.493815326,106.0,87.0,-19.0,900000,374,10,8.0,18,1262,3.666666667,2.333333333,3.714285714
263,1266.0,1,1,-0.174803269,0.693330638,-0.493815326,3.0,51.0,48.0,500000,375,12,13.0,25,1273,3.8,3.8,2.0
264,1268.0,0,0,-0.236235418,-1.120578168,-0.493815326,100.0,100.0,0.0,3000000,376,10,12.0,22,1275,3.0,2.5,2.666666667
265,1269.0,1,1,-0.22292401,1.056112399,-0.493815326,2.0,88.0,86.0,1050000,377,6,9.0,15,1276,3.166666667,2.666666667,3.0
266,1273.0,1,1,0.362777948,-0.757796407,-0.493815326,58.0,46.0,-12.0,900000,378,10,8.0,18,1280,3.5,3.5,3.5
267,1274.2,0,0,-0.236235418,-1.120578168,-0.493815326,70.0,69.0,-1.0,1300000,379,10,10.0,20,1283,3.5,3.5,2.0
268,1289.0,0,0,-0.236235418,-1.120578168,-0.493815326,135.0,130.0,-5.0,2550000,380,6,4.0,10,1299,3.333333333,3.0,3.333333333
269,1293.0,1,1,-0.189645489,1.056112399,-0.493815326,75.0,102.0,27.0,2850000,381,10,8.0,18,1303,4.0,4.0,4.0
270,1296.0,0,0,-0.236235418,-1.120578168,-0.493815326,41.0,30.0,-11.0,570000,382,9,5.0,14,1305,2.5,2.0,1.833333333
271,1298.1,0,0,-0.236235418,-1.120578168,-0.493815326,376.0,141.0,-235.0,3060000,383,12,12.0,24,1307,2.8,2.2,2.833333333
272,1299.0,0,0,-0.236235418,-1.120578168,-0.493815326,150.0,162.0,12.0,2780000,384,8,9.0,17,1309,3.833333333,3.333333333,4.0
273,1305.2,1,1,0.429334988,-0.757796407,-0.493815326,62.0,79.0,17.0,6800000,385,12,10.0,22,1319,3.166666667,2.0,3.5
274,1309.11,1,1,-0.182989785,0.693330638,-0.493815326,38.5,38.0,-0.5,620000,386,6,5.0,11,1325,4.0,4.0,3.666666667
275,1324.0,1,1,-0.230578069,1.056112399,-0.493815326,2.0,2.0,0.0,100000,387,5,8.0,13,1342,3.0,3.5,2.8
276,1327.0,1,1,0.286237351,1.056112399,5.218950212,88.0,154.0,66.0,5950000,389,14,7.0,21,1345,3.4,3.4,2.8
277,1330.0,1,1,-0.209612601,1.056112399,-0.493815326,1.2,1.2,0.0,60000,390,10,5.0,15,1348,4.0,4.0,4.0
278,1331.1,1,1,-0.230245284,1.056112399,0.934376058,2.5,2.5,0.0,1250000,391,7,2.0,9,1349,4.0,4.0,3.5
279,1334.0,1,1,-0.156366969,0.693330638,-0.493815326,51.0,21.0,-30.0,2000000,393,10,8.0,18,1354,4.0,3.5,3.333333333
280,1335.0,0,0,-0.236235418,-1.120578168,-0.493815326,5.0,5.0,0.0,200000,394,12,10.0,22,1355,3.75,3.5,4.0
281,1338.0,1,1,-0.196301193,1.056112399,-0.493815326,3.0,3.0,0.0,250000,395,5,0.0,5,1358,4.0,4.0,3.0
282,1339.0,1,1,-0.202956897,1.056112399,-0.493815326,79.0,49.0,-30.0,1300000,396,6,5.0,11,1359,4.0,2.75,3.333333333
283,1342.0,1,1,-0.099127914,1.056112399,2.362567443,63.0,38.5,-24.5,1840000,397,8,6.0,14,1363,4.0,4.0,3.666666667
284,1347.0,1,1,-0.201625757,0.693330638,0.934376058,114.0,52.0,-62.0,1200000,398,10,8.0,18,1368,2.6,2.6,2.666666667
285,1357.0,1,1,3.757187017,-0.757796407,-0.493815326,16.0,58.0,42.0,4500000,399,8,7.0,15,1379,4.0,4.0,3.0
286,1359.0,1,1,0.276253795,1.056112399,2.362567443,86.5,56.5,-30.0,8100000,400,7,10.0,17,1381,3.333333333,3.666666667,2.5
287,1366.0,0,0,-0.236235418,-1.120578168,-0.493815326,129.0,17.0,-112.0,360000,401,10,5.0,15,1389,2.0,2.0,2.666666667
288,1382.0,0,0,-0.236235418,-1.120578168,-0.493815326,1.0,1.0,0.0,20000,406,5,7.0,12,1404,3.5,3.5,1.5
289,1388.0,1,1,0.232991718,0.693330638,2.362567443,173.0,148.0,-25.0,2400000,408,8,0.0,8,1410,3.4,3.4,3.0
290,1390.0,1,1,-0.193638912,1.056112399,0.934376058,49.0,27.0,-22.0,330000,409,10,6.0,16,1412,3.2,3.2,2.4
291,1393.1,1,1,-0.19749922,1.056112399,0.934376058,134.0,134.0,0.0,1040000,410,12,5.0,17,1415,2.0,2.0,2.4
292,1393.2,1,1,-0.156466805,1.056112399,2.362567443,134.0,119.0,-15.0,2380000,411,12,5.0,17,1416,2.6,2.6,2.0
293,1393.3,1,1,0.146467566,1.056112399,2.362567443,134.0,79.0,-55.0,1580000,412,12,5.0,17,1417,4.0,4.0,4.0
294,1394.1,1,1,-0.196301193,1.056112399,0.934376058,91.0,56.0,-35.0,700000,413,8,9.0,17,1418,4.0,4.0,4.0
295,1394.2,1,1,0.010025632,1.056112399,0.934376058,91.0,41.0,-50.0,600000,414,8,0.0,8,1419,3.5,3.333333333,2.6
296,1398.0,1,1,4.21e-05,-0.395014646,0.934376058,207.0,217.0,10.0,2310000,415,13,14.0,27,1423,4.0,4.0,4.0
297,1406.0,1,1,-0.202956897,0.693330638,-0.493815326,214.0,227.0,13.0,3496692,416,4,10.0,14,1431,3.25,3.25,4.0
298,1407.0,1,1,-0.102289373,0.330548877,0.934376058,206.0,136.0,-70.0,1930000,417,8,10.0,18,1432,3.25,4.0,2.0
299,1408.1,1,0,-0.236235418,-1.120578168,-0.493815326,262.0,272.0,10.0,3470000,418,6,8.0,14,1433,2.0,1.0,2.0
300,1408.2,0,0,-0.236235418,-1.120578168,-0.493815326,272.0,2.0,-270.0,100000,419,6,8.0,14,1434,3.0,3.0,2.0
301,1410.0,1,1,0.592399737,1.056112399,0.934376058,107.0,6.0,-101.0,120000,420,8,7.0,15,1435,4.0,4.0,4.0
302,1411.1,1,1,-0.202956897,-0.757796407,-0.493815326,210.5,109.0,-101.5,3396500,421,8,10.0,18,1436,4.0,4.0,4.0
303,1414.1,1,1,-0.169678377,0.693330638,-0.493815326,467.0,191.0,-276.0,3860000,422,4,0.0,4,1439,3.0,3.0,2.0
304,1414.2,1,1,-0.229579714,-0.757796407,-0.493815326,467.0,53.0,-414.0,170000,424,5,5.0,10,1440,3.333333333,3.333333333,2.4
305,1414.3,1,1,0.166434678,-0.757796407,0.934376058,467.0,164.0,-303.0,3380000,425,4,0.0,4,1441,2.0,2.0,1.4
306,1421.0,1,1,-0.222424832,1.056112399,-0.493815326,21.0,5.5,-15.5,280000,427,2,12.0,14,1449,3.666666667,3.333333333,3.0
307,1423.2,1,1,-0.091380675,1.056112399,0.934376058,28.0,6.0,-22.0,350000,428,5,12.0,17,1452,4.0,4.0,3.666666667
308,1426.0,1,1,-0.22425515,1.056112399,-0.493815326,16.0,39.0,23.0,1550000,429,10,8.0,18,1455,4.0,4.0,3.666666667
309,1433.0,1,1,0.296220907,-0.757796407,-0.493815326,12.0,37.0,25.0,1400000,430,9,5.0,14,1464,3.0,3.0,3.2
310,1441.0,1,1,0.096549785,-0.757796407,-0.493815326,31.0,43.0,12.0,3600000,434,8,3.0,11,1472,4.0,4.0,3.0
311,1444.0,1,1,-0.229579714,-0.757796407,-0.493815326,113.0,83.0,-30.0,4750000,436,12,14.0,26,1475,4.0,4.0,4.0
312,1446.0,0,0,-0.236235418,-1.120578168,-0.493815326,325.0,67.0,-258.0,3000000,439,10,5.0,15,1477,3.25,3.25,3.0
313,1448.0,0,0,-0.236235418,-1.120578168,-0.493815326,20.0,116.0,96.0,5200000,440,10,10.0,20,1479,3.6,3.6,3.166666667
314,1452.0,1,1,-0.206284749,0.693330638,-0.493815326,18.0,18.0,0.0,500000,441,9,8.0,17,1484,4.0,4.0,4.0
315,1454.0,1,1,0.048628716,-0.395014646,0.934376058,181.0,106.0,-75.0,4700000,442,10,8.0,18,1487,3.5,3.5,2.0
316,1456.0,1,1,3.424401814,0.330548877,0.934376058,204.0,204.0,0.0,5100000,443,12,13.0,25,1491,3.25,2.666666667,2.4
317,1462.0,0,0,-0.236235418,-1.120578168,-0.493815326,7.0,7.0,0.0,470000,445,12,9.0,21,1496,4.0,4.0,3.5
318,1463.0,1,1,-0.156366969,0.693330638,-0.493815326,213.0,280.0,67.0,6815000,447,5,4.0,9,1497,3.2,3.4,3.333333333
319,1464.0,1,1,-0.063187112,-0.757796407,-0.493815326,88.0,121.0,33.0,3730000,448,5,8.0,13,1498,3.4,3.4,3.166666667
320,1467.1,1,1,-0.209612601,0.693330638,-0.493815326,41.0,66.0,25.0,1560000,450,3,6.0,9,1501,3.6,3.8,2.333333333
321,1472.0,1,1,-0.206284749,0.693330638,-0.493815326,98.0,131.0,33.0,6680000,451,8,12.0,20,1507,3.666666667,4.0,2.666666667
322,1473.0,1,1,0.096549785,-0.757796407,-0.493815326,91.0,16.0,-75.0,1560000,452,12,12.0,24,1508,2.5,2.5,2.166666667
323,1477.0,0,0,-0.236235418,-1.120578168,-0.493815326,381.0,164.0,-217.0,6640000,453,8,7.0,15,1512,3.2,3.2,3.166666667
324,1483.0,0,0,-0.236235418,-1.120578168,-0.493815326,128.0,129.0,1.0,4610000,457,8,9.0,17,1518,3.0,3.0,2.6
325,1488.0,1,1,-0.129744153,1.056112399,0.934376058,45.5,9.5,-36.0,550000,459,5,0.0,5,1522,3.333333333,3.666666667,4.0
326,1489.0,0,0,-0.236235418,-1.120578168,-0.493815326,68.5,68.5,0.0,2480000,460,7,12.0,19,1523,3.5,3.5,3.5
327,1497.0,1,1,-0.116432745,0.693330638,-0.493815326,40.0,41.5,1.5,2985000,462,7,7.0,14,1533,4.0,4.0,3.0
328,1515.0,1,0,-0.236235418,-1.120578168,-0.493815326,91.5,67.5,-24.0,506000,464,5,5.0,10,1544,3.6,3.6,2.833333333
329,1528.0,1,1,0.176418234,1.056112399,0.934376058,80.0,86.0,6.0,2100000,465,5,0.0,5,1559,2.333333333,3.333333333,2.166666667
330,1529.0,1,1,0.362777948,1.056112399,2.362567443,123.0,126.0,3.0,1990000,466,13,5.0,18,1560,2.8,3.2,2.0
331,1551.0,1,1,0.296220907,0.693330638,-0.493815326,117.0,151.0,34.0,1950000,467,12,10.0,22,1580,3.4,3.6,2.6
332,1561.0,1,1,-0.221592869,1.056112399,-0.493815326,109.0,109.0,0.0,3370000,468,0,2.0,2,1588,3.4,3.4,3.285714286
333,1575.0,1,1,-0.216268305,1.056112399,-0.493815326,1.0,1.0,0.0,120000,470,6,5.0,11,1597,4.0,4.0,4.0
334,1576.0,1,1,-0.22292401,0.693330638,-0.493815326,1.5,1.5,0.0,100000,471,10,12.0,22,1598,3.666666667,3.666666667,3.666666667
335,1578.0,1,1,-0.209612601,0.693330638,-0.493815326,243.0,218.5,-24.5,3475000,472,12,10.0,22,1601,3.5,4.0,2.0
336,1585.0,1,0,-0.236235418,-1.120578168,-0.493815326,73.5,54.0,-19.5,450000,474,6,3.0,9,1608,3.5,4.0,2.333333333
337,1586.1,1,1,-0.209612601,-0.757796407,-0.493815326,48.5,35.5,-13.0,200000,475,8,12.0,20,1609,2.25,2.666666667,1.666666667
338,1587.0,0,0,-0.236235418,-1.120578168,-0.493815326,76.0,130.0,54.0,875000,476,7,14.0,21,1611,4.0,4.0,3.666666667
339,1591.0,0,0,-0.236235418,-1.120578168,-0.493815326,51.5,93.5,42.0,227000,477,10,0.0,10,1615,3.333333333,2.666666667,2.5
340,1600.21,1,1,-0.216268305,0.693330638,-0.493815326,169.5,156.0,-13.5,1575000,478,0,0.0,0,1623,3.25,2.75,3.166666667
341,1609.0,1,0,-0.236235418,-1.120578168,-0.493815326,10.0,10.0,0.0,500000,481,12,10.0,22,1632,3.0,2.0,3.0
342,1611.0,1,1,-0.235902632,1.056112399,-0.493815326,3.0,3.0,0.0,300000,482,10,12.0,22,1634,4.0,4.0,3.5
343,1624.0,1,1,-0.225586291,0.693330638,-0.493815326,69.0,69.0,0.0,1105000,485,10,10.0,20,1647,4.0,4.0,2.0
344,1651.0,1,1,0.174421523,0.693330638,0.934376058,3.0,24.0,21.0,1900000,489,9,9.0,18,1678,3.0,3.0,4.0
345,1652.0,1,1,0.123172601,0.693330638,-0.493815326,204.0,157.0,-47.0,7700000,490,10,10.0,20,1679,4.0,4.0,2.0
346,1654.0,1,0,-0.236235418,-1.120578168,-0.493815326,29.0,29.0,0.0,700000,491,10,5.0,15,1681,4.0,4.0,3.0
347,1660.0,1,0,-0.236235418,-1.120578168,-0.493815326,8.0,14.0,6.0,1800000,492,7,4.0,11,1687,4.0,4.0,3.0
348,1677.0,1,0,-0.236235418,-1.120578168,-0.493815326,121.0,75.0,-46.0,2600000,495,10,,10,1704,3.333333333,3.0,4.0
349,1685.0,1,1,-0.202956897,-0.757796407,-0.493815326,152.0,173.0,21.0,581237,496,9,12.0,21,1712,3.333333333,3.0,2.0
350,1694.0,1,1,-0.230910854,0.693330638,-0.493815326,64.0,218.0,154.0,2800000,497,7,12.0,19,1719,3.333333333,3.333333333,3.0
351,1699.0,1,1,0.529170549,0.693330638,5.218950212,12.5,12.5,0.0,400000,498,8,4.0,12,1724,4.0,4.0,4.0
352,1700.0,1,1,-0.155035828,1.056112399,2.362567443,279.0,327.0,48.0,3848000,499,6,5.0,11,1725,3.0,3.25,2.833333333
353,1710.0,1,1,3.763842721,1.056112399,0.934376058,175.0,289.0,114.0,6100000,500,9,7.0,16,1736,3.25,3.25,3.0
354,1723.0,1,1,1.594083198,1.056112399,5.218950212,284.0,464.0,180.0,8410000,501,5,5.0,10,1749,4.0,4.0,4.0
355,1727.0,1,1,-0.194304482,1.056112399,0.934376058,54.0,78.0,24.0,890000,503,6,9.0,15,1755,3.5,3.25,4.0
356,1736.0,1,1,0.029992745,-0.757796407,-0.493815326,125.0,250.0,125.0,4100000,504,7,8.0,15,1764,3.6,3.6,2.5
357,1737.0,1,1,1.719210434,0.693330638,2.362567443,4.0,9.0,5.0,360000,505,10,6.0,16,1765,4.0,4.0,2.0
358,1760.0,1,1,-0.05985926,0.693330638,0.934376058,128.0,38.0,-90.0,260000,508,2,0.0,2,1787,3.0,3.666666667,2.6
359,1764.0,1,1,-0.083154224,-0.757796407,0.934376058,128.0,73.0,-55.0,2590000,510,10,8.0,18,1791,3.0,2.333333333,3.0
360,1773.0,1,1,-0.137730998,0.693330638,-0.493815326,148.0,120.0,-28.0,4000000,512,10,10.0,20,1799,3.0,3.0,1.4
361,1790.0,1,0,-0.236235418,-1.120578168,-0.493815326,92.0,104.0,12.0,310000,514,6,0.0,6,1818,3.0,3.333333333,3.5
362,1795.0,1,1,0.287568492,1.056112399,2.362567443,106.0,259.0,153.0,1130000,515,4,9.0,13,1823,3.75,4.0,4.0
363,1796.0,1,1,-0.216268305,0.693330638,-0.493815326,292.0,108.0,-184.0,1120000,516,4,0.0,4,1824,3.333333333,3.333333333,2.833333333
364,1800.0,0,0,-0.236235418,-1.120578168,-0.493815326,289.5,260.0,-29.5,1320000,518,12,9.0,21,1829,2.5,2.5,2.2
365,1805.0,1,1,-0.216268305,1.056112399,-0.493815326,112.0,3.0,-109.0,300000,519,5,9.0,14,1835,3.0,3.0,1.333333333
366,1810.0,1,0,-0.236235418,-1.120578168,-0.493815326,243.0,279.0,36.0,19850000,521,13,10.0,23,1841,4.0,4.0,1.833333333
367,1812.0,1,1,-0.049875704,0.693330638,-0.493815326,74.0,72.0,-2.0,2780000,522,4,0.0,4,1844,3.0,3.0,1.166666667
368,1818.0,1,1,-0.138895746,1.056112399,3.790758827,3.0,3.0,0.0,300000,524,4,5.0,9,1850,3.0,3.0,1.0
369,1821.0,1,1,-0.219596157,1.056112399,-0.493815326,162.0,126.0,-36.0,2520000,526,8,0.0,8,1853,3.333333333,2.5,2.333333333
370,1829.0,1,0,-0.236235418,-1.120578168,-0.493815326,81.0,100.0,19.0,2625000,529,4,0.0,4,1861,2.833333333,2.666666667,2.833333333
371,1830.0,1,0,-0.236235418,-1.120578168,-0.493815326,78.0,68.0,-10.0,1100000,530,8,6.0,14,1862,4.0,4.0,3.666666667
372,1834.0,1,1,0.096549785,1.056112399,0.934376058,99.0,99.0,0.0,1665000,533,7,5.0,12,1866,4.0,4.0,4.0
373,1835.0,1,1,-0.209612601,1.056112399,-0.493815326,140.0,169.0,29.0,2700000,534,9,8.0,17,1867,2.666666667,2.666666667,2.5
374,1836.0,1,1,-0.202956897,1.056112399,-0.493815326,151.5,159.0,7.5,3295000,536,12,10.0,22,1868,2.8,2.6,3.0
375,1838.0,1,1,-0.19097663,0.693330638,0.934376058,85.0,180.0,95.0,3490000,537,12,12.0,24,1869,3.0,3.0,2.0
