,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
43,232.0,1,1,-0.129744153,1.056112399,-0.493815326,80.0,116.0,36.0,1990000,50,13,12.0,25,224,3.25,3.25,2.5
44,234.0,0,0,-0.236235418,-1.120578168,-0.493815326,3.0,3.0,0.0,240000,51,8,9.0,17,226,3.5,3.0,2.5
45,238.0,1,1,-0.209093456,1.056112399,0.934376058,24.0,24.0,0.0,750000,52,12,12.0,24,228,4.0,4.0,4.0
46,245.0,1,1,-0.216268305,1.056112399,-0.493815326,14.0,42.0,28.0,1300000,53,7,8.0,15,236,4.0,4.0,2.833333333
47,248.0,0,0,-0.236235418,-1.120578168,-0.493815326,140.0,246.0,106.0,4125000,54,14,13.0,27,239,3.0,2.75,3.0
48,254.0,1,1,-0.216268305,1.056112399,-0.493815326,5.0,7.0,2.0,130000,55,9,9.0,18,244,4.0,4.0,4.0
49,270.0,0,0,-0.236235418,-1.120578168,-0.493815326,107.0,41.0,-66.0,1155000,58,10,12.0,22,258,2.333333333,2.333333333,2.0
50,280.1,1,1,-0.116432745,1.056112399,2.362567443,12.0,5.0,-7.0,100000,59,12,12.0,24,268,4.0,4.0,2.5
51,280.2,1,1,-0.202956897,0.693330638,-0.493815326,12.0,7.0,-5.0,140000,60,9,8.0,17,269,3.0,4.0,1.5
52,288.0,1,1,-0.226917432,1.056112399,0.934376058,167.0,7.0,-160.0,30000,62,7,5.0,12,278,4.0,4.0,4.0
53,293.0,1,1,-0.092824962,1.056112399,0.934376058,4.0,92.0,88.0,700000,63,6,8.0,14,283,3.0,4.0,2.2
54,303.0,1,0,-0.236235418,-1.120578168,-0.493815326,183.0,210.0,27.0,1070000,64,8,5.0,13,292,3.4,3.4,2.833333333
55,316.1,1,1,-0.219596157,1.056112399,-0.493815326,439.0,227.0,-212.0,3150000,65,9,4.0,13,304,3.5,3.5,2.666666667
56,316.2,1,1,0.109861193,1.056112399,2.362567443,232.0,72.0,-160.0,820000,66,7,5.0,12,305,4.0,4.0,4.0
57,316.3,1,1,-0.202956897,1.056112399,-0.493815326,183.0,40.0,-143.0,350000,67,7,5.0,12,306,2.333333333,2.333333333,1.4
58,317.0,1,0,-0.236235418,-1.120578168,-0.493815326,115.0,12.0,-103.0,240000,68,9,7.0,16,307,4.0,4.0,4.0
59,323.0,1,1,-0.103121336,0.693330638,0.934376058,6.0,6.0,0.0,120000,69,8,9.0,17,312,4.0,4.0,4.0
60,325.0,1,1,-0.152420136,1.056112399,2.362567443,18.0,6.0,-12.0,180000,70,4,2.0,6,314,4.0,4.0,4.0
61,326.0,1,0,-0.236235418,-1.120578168,-0.493815326,84.0,202.0,118.0,1750000,71,10,10.0,20,315,2.0,2.0,2.8
62,328.0,0,0,-0.236235418,-1.120578168,-0.493815326,10.0,10.0,0.0,500000,72,6,10.0,16,317,3.0,4.0,1.5
63,329.1,1,1,-0.179661933,1.056112399,0.934376058,89.0,89.0,0.0,1670000,73,5,4.0,9,318,2.666666667,2.666666667,1.2
64,329.2,1,1,-0.116432745,0.693330638,0.934376058,8.0,16.0,8.0,750000,74,5,4.0,9,319,3.5,3.0,3.0
65,334.0,1,1,0.043304153,0.693330638,0.934376058,744.0,734.0,-10.0,8358000,75,9,12.0,21,324,2.0,2.0,1.0
66,341.0,1,1,-0.202956897,0.693330638,-0.493815326,60.0,116.0,56.0,635000,76,10,13.0,23,332,3.333333333,3.333333333,3.5
67,361.0,1,1,-0.196301193,0.693330638,-0.493815326,65.5,3.5,-62.0,400000,77,10,10.0,20,349,4.0,4.0,3.0
68,363.0,1,1,-0.218930587,1.056112399,-0.493815326,28.0,28.0,0.0,1000000,78,3,5.0,8,351,3.25,3.25,3.0
69,365.0,0,0,-0.236235418,-1.120578168,-0.493815326,170.0,116.5,-53.5,2730000,79,9,13.0,22,353,4.0,4.0,4.0
70,370.0,1,0,-0.236235418,-1.120578168,-0.493815326,6.0,6.0,0.0,400000,80,13,10.0,23,359,2.75,2.75,2.0
71,373.0,1,1,0.562449069,-0.757796407,-0.493815326,24.0,64.0,40.0,1700000,81,12,10.0,22,362,2.0,3.2,3.285714286
72,379.0,1,0,-0.236235418,-1.120578168,-0.493815326,48.5,7.0,-41.5,700000,82,5,7.0,12,368,3.333333333,3.333333333,3.0
73,380.0,1,1,-0.222125325,1.056112399,2.362567443,80.5,2.0,-78.5,300000,83,10,4.0,14,369,4.0,4.0,3.5
74,381.0,1,0,-0.236235418,-1.120578168,-0.493815326,79.0,41.0,-38.0,2980000,84,10,13.0,23,370,3.0,3.0,2.0
